time,x,r,u_r,a_s
0,0,0,0,1
0,0,0,0,1
0.01,0,0,0,1
0.02,0,0,0,1
0.03,0,0,0,1
0.04,0,0,0,1
0.05,0,0,0,1
0.06,0,0,0,1
0.07,0,0,0,1
0.08,0,0,0,1
0.09,0,0,0,1
0.1,0,0,0,1
0.11,0,0,0,1
0.12,0.01,0,1,1
0.13,0.0199,0,1,1
0.14,0.029701,0,1,1
0.15,0.039404,0,1,1
0.16,0.04901,0,1,1
0.17,0.0585199,0,1,1
0.18,0.0679347,0,1,1
0.19,0.0772553,0,1,1
0.2,0.0864828,0,1,1
0.21,0.0956179,0,1,1
0.22,0.104662,0,1,1
0.23,0.113615,0,1,1
0.24,0.132479,0,2,1
0.25,0.151154,0,2,1
0.26,0.169643,0,2,1
0.27,0.187946,0,2,1
0.28,0.206067,0,2,1
0.29,0.224006,0,2,1
0.3,0.241766,0,2,1
0.31,0.259348,0,2,1
0.32,0.276755,0,2,1
0.33,0.293987,0,2,1
0.34,0.311047,0,2,1
0.35,0.327937,0,2,1
0.36,0.354658,0,3,1
0.37,0.381111,0,3,1
0.38,0.4073,0,3,1
0.39,0.433227,0,3,1
0.4,0.458895,0,3,1
0.41,0.484306,0,3,1
0.42,0.509463,0,3,1
0.43,0.534368,0,3,1
0.44,0.559024,0,3,1
0.45,0.583434,0,3,1
0.46,0.6076,0,3,1
0.47,0.631524,0,3,1
0.48,0.665209,0,4,1
0.49,0.698556,0,4,1
0.5,0.731571,0,4,1
0.51,0.764255,0,4,1
0.52,0.796613,0,4,1
0.53,0.828646,0,4,1
0.54,0.86036,0,4,1
0.55,0.891756,0,4,1
0.56,0.922839,0,4,1
0.57,0.95361,0,4,1
0.58,0.984074,0,4,1
0.59,1.01423,0,4,1
0.6,1.05409,0,5,1
0.61,1.09355,0,5,1
0.62,1.13261,0,5,1
0.63,1.17129,0,5,1
0.64,1.20958,0,5,1
0.65,1.24748,0,5,1
0.66,1.28501,0,5,1
0.67,1.32216,0,5,1
0.68,1.35893,0,5,1
0.69,1.39534,0,5,1
0.7,1.43139,0,5,1
0.71,1.46708,0,5,1
0.72,1.51241,0,6,1
0.73,1.55728,0,6,1
0.74,1.60171,0,6,1
0.75,1.64569,0,6,1
0.76,1.68924,0,6,1
0.77,1.73234,0,6,1
0.78,1.77502,0,6,1
0.79,1.81727,0,6,1
0.8,1.8591,0,6,1
0.81,1.90051,0,6,1
0.82,1.9415,0,6,1
0.83,1.98209,0,6,1
0.84,2.03226,0,7,1
0.85,2.08194,0,7,1
0.86,2.13112,0,7,-1
0.87,2.17981,0,7,-1
0.88,2.22801,0,7,-1
0.89,2.27573,0,7,-1
0.9,2.32298,0,7,-1
0.91,2.36975,0,7,-1
0.92,2.41605,0,7,-1
0.93,2.46189,0,7,-1
0.94,2.50727,0,7,-1
0.95,2.5522,0,7,-1
0.96,2.58667,0,6,-1
0.97,2.62081,0,6,-1
0.98,2.6546,0,6,-1
0.99,2.68805,0,6,-1
1,2.72117,0,6,-1
1.01,2.75396,0,6,-1
1.02,2.78642,0,6,-1
1.03,2.81856,0,6,-1
1.04,2.85037,0,6,-1
1.05,2.88187,0,6,-1
1.06,2.91305,0,6,-1
1.07,2.94392,0,6,-1
1.08,2.96448,0,5,-1
1.09,2.98484,0,5,-1
1.1,3.00499,0,5,-1
1.11,3.02494,0,5,-1
1.12,3.04469,0,5,-1
1.13,3.06424,0,5,-1
1.14,3.0836,0,5,-1
1.15,3.10276,0,5,-1
1.16,3.12173,0,5,-1
1.17,3.14052,0,5,-1
1.18,3.15911,0,5,-1
1.19,3.17752,0,5,-1
1.2,3.18575,0,4,-1
1.21,3.19389,0,4,-1
1.22,3.20195,0,4,-1
1.23,3.20993,0,4,-1
1.24,3.21783,0,4,-1
1.25,3.22565,0,4,-1
1.26,3.2334,0,4,-1
1.27,3.24106,0,4,-1
1.28,3.24865,0,4,-1
1.29,3.25616,0,4,-1
1.3,3.2636,0,4,-1
1.31,3.27097,0,4,-1
1.32,3.26826,0,3,-1
1.33,3.26557,0,3,-1
1.34,3.26292,0,3,-1
1.35,3.26029,0,3,-1
1.36,3.25769,0,3,-1
1.37,3.25511,0,3,-1
1.38,3.25256,0,3,-1
1.39,3.25003,0,3,-1
1.4,3.24753,0,3,-1
1.41,3.24506,0,3,-1
1.42,3.24261,0,3,-1
1.43,3.24018,0,3,-1
1.44,3.22778,0,2,-1
1.45,3.2155,0,2,-1
1.46,3.20335,0,2,-1
1.47,3.19131,0,2,-1
1.48,3.1794,0,2,-1
1.49,3.16761,0,2,-1
1.5,3.15593,0,2,-1
1.51,3.14437,0,2,-1
1.52,3.13293,0,2,-1
1.53,3.1216,0,2,-1
1.54,3.11038,0,2,-1
1.55,3.09928,0,2,-1
1.56,3.07829,0,1,-1
1.57,3.0575,0,1,-1
1.58,3.03693,0,1,-1
1.59,3.01656,0,1,-1
1.6,2.99639,0,1,-1
1.61,2.97643,0,1,-1
1.62,2.95666,0,1,-1
1.63,2.9371,0,1,-1
1.64,2.91773,0,1,-1
1.65,2.89855,0,1,-1
1.66,2.87956,0,1,-1
1.67,2.86077,0,1,-1
1.68,2.83216,0,0,-1
1.69,2.80384,0,0,-1
1.7,2.7758,0,0,-1
1.71,2.74804,0,0,-1
1.72,2.72056,0,0,-1
1.73,2.69336,0,0,-1
1.74,2.66642,0,0,-1
1.75,2.63976,0,0,-1
1.76,2.61336,0,0,-1
1.77,2.58723,0,0,-1
1.78,2.56136,0,0,-1
1.79,2.53574,0,0,-1
1.8,2.50038,0,-1,-1
1.81,2.46538,0,-1,-1
1.82,2.43073,0,-1,-1
1.83,2.39642,0,-1,-1
1.84,2.36246,0,-1,-1
1.85,2.32883,0,-1,-1
1.86,2.29554,0,-1,-1
1.87,2.26259,0,-1,-1
1.88,2.22996,0,-1,-1
1.89,2.19766,0,-1,-1
1.9,2.16568,0,-1,-1
1.91,2.13403,0,-1,-1
1.92,2.09269,0,-2,-1
1.93,2.05176,0,-2,-1
1.94,2.01124,0,-2,-1
1.95,1.97113,0,-2,-1
1.96,1.93142,0,-2,-1
1.97,1.89211,0,-2,1
1.98,1.85318,0,-2,1
1.99,1.81465,0,-2,1
2,1.77651,0,-2,1
2.01,1.73874,0,-2,1
2.02,1.70135,0,-2,1
2.03,1.66434,0,-2,1
2.04,1.6377,0,-1,1
2.05,1.61132,0,-1,1
2.06,1.58521,0,-1,1
2.07,1.55935,0,-1,1
2.08,1.53376,0,-1,1
2.09,1.50842,0,-1,1
2.1,1.48334,0,-1,1
2.11,1.45851,0,-1,1
2.12,1.43392,0,-1,1
2.13,1.40958,0,-1,1
2.14,1.38549,0,-1,1
2.15,1.36163,0,-1,1
2.16,1.34801,0,0,1
2.17,1.33453,0,0,1
2.18,1.32119,0,0,1
2.19,1.30798,0,0,1
2.2,1.2949,0,0,1
2.21,1.28195,0,0,1
2.22,1.26913,0,0,1
2.23,1.25644,0,0,1
2.24,1.24387,0,0,1
2.25,1.23143,0,0,1
2.26,1.21912,0,0,1
2.27,1.20693,0,0,1
2.28,1.20486,0,1,1
2.29,1.20281,0,1,1
2.3,1.20078,0,1,1
2.31,1.19877,0,1,1
2.32,1.19679,0,1,1
2.33,1.19482,0,1,1
2.34,1.19287,0,1,1
2.35,1.19094,0,1,1
2.36,1.18903,0,1,1
2.37,1.18714,0,1,1
2.38,1.18527,0,1,1
2.39,1.18342,0,1,1
2.4,1.19158,0,2,1
2.41,1.19967,0,2,1
2.42,1.20767,0,2,1
2.43,1.21559,0,2,1
2.44,1.22344,0,2,1
2.45,1.2312,0,2,1
2.46,1.23889,0,2,1
2.47,1.2465,0,2,1
2.48,1.25404,0,2,1
2.49,1.2615,0,2,1
2.5,1.26888,0,2,1
2.51,1.27619,0,2,1
2.52,1.29343,0,3,1
2.53,1.3105,0,3,1
