time,x,r,x_r,u_r,a_s
0,0,0,0,0,1
0,0,0,0,0,1
0.01,0,0,0,0,1
0.02,0,0,0,0,1
0.03,0,0,0,0,1
0.04,0,0,0,0,1
0.05,0,0,0,0,1
0.06,0,0,0,0,1
0.07,0,0,0,0,1
0.08,0,0,0,0,1
0.09,0,0,0,0,1
0.1,0.01,0,0.01,1,1
0.11,0.0199,0,0.0199,1,1
0.12,0.029701,0,0.029701,1,1
0.13,0.039404,0,0.039404,1,1
0.14,0.04901,0,0.04901,1,1
0.15,0.0585199,0,0.0585199,1,1
0.16,0.0679347,0,0.0679347,1,1
0.17,0.0772553,0,0.0772553,1,1
0.18,0.0864828,0,0.0864828,1,1
0.19,0.0956179,0,0.0956179,1,1
0.2,0.104662,0,0.104662,1,1
0.21,0.123615,0,0.123615,2,1
0.22,0.142379,0,0.142379,2,1
0.23,0.160955,0,0.160955,2,1
0.24,0.179346,0,0.179346,2,1
0.25,0.197552,0,0.197552,2,1
0.26,0.215577,0,0.215577,2,1
0.27,0.233421,0,0.233421,2,1
0.28,0.251087,0,0.251087,2,1
0.29,0.268576,0,0.268576,2,1
0.3,0.28589,0,0.28589,2,1
0.31,0.303031,0,0.303031,2,1
0.32,0.330001,0,0.330001,3,1
0.33,0.356701,0,0.356701,3,1
0.34,0.383134,0,0.383134,3,1
0.35,0.409302,0,0.409302,3,1
0.36,0.435209,0,0.435209,3,1
0.37,0.460857,0,0.460857,3,1
0.38,0.486249,0,0.486249,3,1
0.39,0.511386,0,0.511386,3,1
0.4,0.536272,0,0.536272,3,1
0.41,0.56091,0,0.56091,3,1
0.42,0.585301,0,0.585301,3,1
0.43,0.619448,0,0.619448,4,1
0.44,0.653253,0,0.653253,4,1
0.45,0.686721,0,0.686721,4,1
0.46,0.719853,0,0.719853,4,1
0.47,0.752655,0,0.752655,4,1
0.48,0.785128,0,0.785128,4,1
0.49,0.817277,0,0.817277,4,1
0.5,0.849104,0,0.849104,4,1
0.51,0.880613,0,0.880613,4,1
0.52,0.911807,0,0.911807,4,1
0.53,0.942689,0,0.942689,4,1
0.54,0.983262,0,0.983262,5,1
0.55,1.02343,0,1.02343,5,1
0.56,1.0632,0,1.0632,5,1
0.57,1.10256,0,1.10256,5,1
0.58,1.14154,0,1.14154,5,1
0.59,1.18012,0,1.18012,5,1
0.6,1.21832,0,1.21832,5,1
0.61,1.25614,0,1.25614,5,1
0.62,1.29358,0,1.29358,5,1
0.63,1.33064,0,1.33064,5,1
0.64,1.36733,0,1.36733,5,1
0.65,1.41366,0,1.41366,6,1
0.66,1.45952,0,1.45952,6,1
0.67,1.50493,0,1.50493,6,1
0.68,1.54988,0,1.54988,6,1
0.69,1.59438,0,1.59438,6,1
0.7,1.63844,0,1.63844,6,1
0.71,1.68205,0,1.68205,6,1
0.72,1.72523,0,1.72523,6,1
0.73,1.76798,0,1.76798,6,1
0.74,1.8103,0,1.8103,6,1
0.75,1.8522,0,1.8522,6,1
0.76,1.90368,0,1.90368,7,1
0.77,1.95464,0,1.95464,7,1
0.78,2.00509,0,2.00509,7,1
0.79,2.05504,0,2.05504,7,-1
0.8,2.10449,0,2.10449,7,-1
0.81,2.15345,0,2.15345,7,-1
0.82,2.20191,0,2.20191,7,-1
0.83,2.24989,0,2.24989,7,-1
0.84,2.29739,0,2.29739,7,-1
0.85,2.34442,0,2.34442,7,-1
0.86,2.39098,0,2.39098,7,-1
0.87,2.42707,0,2.42707,6,-1
0.88,2.46279,0,2.46279,6,-1
0.89,2.49817,0,2.49817,6,-1
0.9,2.53319,0,2.53319,6,-1
0.91,2.56785,0,2.56785,6,-1
0.92,2.60217,0,2.60217,6,-1
0.93,2.63615,0,2.63615,6,-1
0.94,2.66979,0,2.66979,6,-1
0.95,2.70309,0,2.70309,6,-1
0.96,2.73606,0,2.73606,6,-1
0.97,2.7687,0,2.7687,6,-1
0.98,2.79102,0,2.79102,5,-1
0.99,2.8131,0,2.8131,5,-1
1,2.83497,0,2.83497,5,-1
1.01,2.85662,0,2.85662,5,-1
1.02,2.87806,0,2.87806,5,-1
1.03,2.89928,0,2.89928,5,-1
1.04,2.92028,0,2.92028,5,-1
1.05,2.94108,0,2.94108,5,-1
1.06,2.96167,0,2.96167,5,-1
1.07,2.98205,0,2.98205,5,-1
1.08,3.00223,0,3.00223,5,-1
1.09,3.01221,0,3.01221,4,-1
1.1,3.02209,0,3.02209,4,-1
1.11,3.03187,0,3.03187,4,-1
1.12,3.04155,0,3.04155,4,-1
1.13,3.05113,0,3.05113,4,-1
1.14,3.06062,0,3.06062,4,-1
1.15,3.07002,0,3.07002,4,-1
1.16,3.07932,0,3.07932,4,-1
1.17,3.08852,0,3.08852,4,-1
1.18,3.09764,0,3.09764,4,-1
1.19,3.10666,0,3.10666,4,-1
1.2,3.10559,0,3.10559,3,-1
1.21,3.10454,0,3.10454,3,-1
1.22,3.10349,0,3.10349,3,-1
1.23,3.10246,0,3.10246,3,-1
1.24,3.10143,0,3.10143,3,-1
1.25,3.10042,0,3.10042,3,-1
1.26,3.09942,0,3.09942,3,-1
1.27,3.09842,0,3.09842,3,-1
1.28,3.09744,0,3.09744,3,-1
1.29,3.09646,0,3.09646,3,-1
1.3,3.0955,0,3.0955,3,-1
1.31,3.08454,0,3.08454,2,-1
1.32,3.0737,0,3.0737,2,-1
1.33,3.06296,0,3.06296,2,-1
1.34,3.05233,0,3.05233,2,-1
1.35,3.04181,0,3.04181,2,-1
1.36,3.03139,0,3.03139,2,-1
1.37,3.02108,0,3.02108,2,-1
1.38,3.01087,0,3.01087,2,-1
1.39,3.00076,0,3.00076,2,-1
1.4,2.99075,0,2.99075,2,-1
1.41,2.98084,0,2.98084,2,-1
1.42,2.96103,0,2.96103,1,-1
1.43,2.94142,0,2.94142,1,-1
1.44,2.92201,0,2.92201,1,-1
1.45,2.90279,0,2.90279,1,-1
1.46,2.88376,0,2.88376,1,-1
1.47,2.86492,0,2.86492,1,-1
1.48,2.84627,0,2.84627,1,-1
1.49,2.82781,0,2.82781,1,-1
1.5,2.80953,0,2.80953,1,-1
1.51,2.79144,0,2.79144,1,-1
1.52,2.77352,0,2.77352,1,-1
1.53,2.74579,0,2.74579,0,-1
1.54,2.71833,0,2.71833,0,-1
1.55,2.69115,0,2.69115,0,-1
1.56,2.66424,0,2.66424,0,-1
1.57,2.63759,0,2.63759,0,-1
1.58,2.61122,0,2.61122,0,-1
1.59,2.5851,0,2.5851,0,-1
1.6,2.55925,0,2.55925,0,-1
1.61,2.53366,0,2.53366,0,-1
1.62,2.50832,0,2.50832,0,-1
1.63,2.48324,0,2.48324,0,-1
1.64,2.44841,0,2.44841,-1,-1
1.65,2.41392,0,2.41392,-1,-1
1.66,2.37979,0,2.37979,-1,-1
1.67,2.34599,0,2.34599,-1,-1
1.68,2.31253,0,2.31253,-1,-1
1.69,2.2794,0,2.2794,-1,-1
1.7,2.24661,0,2.24661,-1,-1
1.71,2.21414,0,2.21414,-1,-1
