time,x,r,u_r,a_s
0,0,0,0,1
0,0,0,0,1
0.01,0,0,0,1
0.02,0,0,0,1
0.03,0,0,0,1
0.04,0,0,0,1
0.05,0,0,0,1
0.06,0,0,0,1
0.07,0,0,0,1
0.08,0,0,0,1
0.09,0,0,0,1
0.1,0.01,0,1,1
0.11,0.0199,0,1,1
0.12,0.029701,0,1,1
0.13,0.039404,0,1,1
0.14,0.04901,0,1,1
0.15,0.0585199,0,1,1
0.16,0.0679347,0,1,1
0.17,0.0772553,0,1,1
0.18,0.0864828,0,1,1
0.19,0.0956179,0,1,1
0.2,0.104662,0,1,1
0.21,0.123615,0,2,1
0.22,0.142379,0,2,1
0.23,0.160955,0,2,1
0.24,0.179346,0,2,1
0.25,0.197552,0,2,1
0.26,0.215577,0,2,1
0.27,0.233421,0,2,1
0.28,0.251087,0,2,1
0.29,0.268576,0,2,1
0.3,0.28589,0,2,1
0.31,0.303031,0,2,1
0.32,0.330001,0,3,1
0.33,0.356701,0,3,1
0.34,0.383134,0,3,1
0.35,0.409302,0,3,1
0.36,0.435209,0,3,1
0.37,0.460857,0,3,1
0.38,0.486249,0,3,1
0.39,0.511386,0,3,1
0.4,0.536272,0,3,1
0.41,0.56091,0,3,1
0.42,0.585301,0,3,1
0.43,0.619448,0,4,1
0.44,0.653253,0,4,1
0.45,0.686721,0,4,1
0.46,0.719853,0,4,1
0.47,0.752655,0,4,1
0.48,0.785128,0,4,1
0.49,0.817277,0,4,1
0.5,0.849104,0,4,1
0.51,0.880613,0,4,1
0.52,0.911807,0,4,1
0.53,0.942689,0,4,1
0.54,0.983262,0,5,1
0.55,1.02343,0,5,1
0.56,1.0632,0,5,1
0.57,1.10256,0,5,1
0.58,1.14154,0,5,1
0.59,1.18012,0,5,1
0.6,1.21832,0,5,1
0.61,1.25614,0,5,1
0.62,1.29358,0,5,1
0.63,1.33064,0,5,1
0.64,1.36733,0,5,1
0.65,1.41366,0,6,1
0.66,1.45952,0,6,1
0.67,1.50493,0,6,1
0.68,1.54988,0,6,1
0.69,1.59438,0,6,1
0.7,1.63844,0,6,1
0.71,1.68205,0,6,1
0.72,1.72523,0,6,1
0.73,1.76798,0,6,1
0.74,1.8103,0,6,1
0.75,1.8522,0,6,1
0.76,1.90368,0,7,1
0.77,1.95464,0,7,1
0.78,2.00509,0,7,1
0.79,2.05504,0,7,-1
0.8,2.10449,0,7,-1
0.81,2.15345,0,7,-1
0.82,2.20191,0,7,-1
0.83,2.24989,0,7,-1
0.84,2.29739,0,7,-1
0.85,2.34442,0,7,-1
0.86,2.39098,0,7,-1
0.87,2.42707,0,6,-1
0.88,2.46279,0,6,-1
0.89,2.49817,0,6,-1
0.9,2.53319,0,6,-1
0.91,2.56785,0,6,-1
0.92,2.60217,0,6,-1
0.93,2.63615,0,6,-1
0.94,2.66979,0,6,-1
0.95,2.70309,0,6,-1
0.96,2.73606,0,6,-1
0.97,2.7687,0,6,-1
0.98,2.79102,0,5,-1
0.99,2.8131,0,5,-1
1,2.83497,0,5,-1
1.01,2.85662,0,5,-1
1.02,2.87806,0,5,-1
1.03,2.89928,0,5,-1
1.04,2.92028,0,5,-1
1.05,2.94108,0,5,-1
1.06,2.96167,0,5,-1
1.07,2.98205,0,5,-1
1.08,3.00223,0,5,-1
1.09,3.01221,0,4,-1
1.1,3.02209,0,4,-1
1.11,3.03187,0,4,-1
1.12,3.04155,0,4,-1
1.13,3.05113,0,4,-1
1.14,3.06062,0,4,-1
1.15,3.07002,0,4,-1
1.16,3.07932,0,4,-1
1.17,3.08852,0,4,-1
1.18,3.09764,0,4,-1
1.19,3.10666,0,4,-1
1.2,3.10559,0,3,-1
1.21,3.10454,0,3,-1
1.22,3.10349,0,3,-1
1.23,3.10246,0,3,-1
1.24,3.10143,0,3,-1
1.25,3.10042,0,3,-1
1.26,3.09942,0,3,-1
1.27,3.09842,0,3,-1
1.28,3.09744,0,3,-1
1.29,3.09646,0,3,-1
1.3,3.0955,0,3,-1
1.31,3.08454,0,2,-1
1.32,3.0737,0,2,-1
1.33,3.06296,0,2,-1
1.34,3.05233,0,2,-1
1.35,3.04181,0,2,-1
1.36,3.03139,0,2,-1
1.37,3.02108,0,2,-1
1.38,3.01087,0,2,-1
1.39,3.00076,0,2,-1
1.4,2.99075,0,2,-1
1.41,2.98084,0,2,-1
1.42,2.96103,0,1,-1
1.43,2.94142,0,1,-1
1.44,2.92201,0,1,-1
1.45,2.90279,0,1,-1
1.46,2.88376,0,1,-1
1.47,2.86492,0,1,-1
1.48,2.84627,0,1,-1
1.49,2.82781,0,1,-1
1.5,2.80953,0,1,-1
1.51,2.79144,0,1,-1
1.52,2.77352,0,1,-1
1.53,2.74579,0,0,-1
1.54,2.71833,0,0,-1
1.55,2.69115,0,0,-1
1.56,2.66424,0,0,-1
1.57,2.63759,0,0,-1
1.58,2.61122,0,0,-1
1.59,2.5851,0,0,-1
1.6,2.55925,0,0,-1
1.61,2.53366,0,0,-1
1.62,2.50832,0,0,-1
1.63,2.48324,0,0,-1
1.64,2.44841,0,-1,-1
1.65,2.41392,0,-1,-1
1.66,2.37979,0,-1,-1
1.67,2.34599,0,-1,-1
1.68,2.31253,0,-1,-1
1.69,2.2794,0,-1,-1
1.7,2.24661,0,-1,-1
1.71,2.21414,0,-1,-1
1.72,2.182,0,-1,-1
1.73,2.15018,0,-1,-1
1.74,2.11868,0,-1,-1
1.75,2.07749,0,-2,-1
1.76,2.03672,0,-2,-1
1.77,1.99635,0,-2,-1
1.78,1.95639,0,-2,1
1.79,1.91682,0,-2,1
1.8,1.87765,0,-2,1
1.81,1.83888,0,-2,1
1.82,1.80049,0,-2,1
1.83,1.76248,0,-2,1
1.84,1.72486,0,-2,1
1.85,1.68761,0,-2,1
1.86,1.66073,0,-1,1
1.87,1.63413,0,-1,1
1.88,1.60779,0,-1,1
1.89,1.58171,0,-1,1
1.9,1.55589,0,-1,1
1.91,1.53033,0,-1,1
1.92,1.50503,0,-1,1
1.93,1.47998,0,-1,1
1.94,1.45518,0,-1,1
1.95,1.43063,0,-1,1
1.96,1.40632,0,-1,1
1.97,1.39226,0,0,1
1.98,1.37834,0,0,1
1.99,1.36455,0,0,1
2,1.35091,0,0,1
2.01,1.3374,0,0,1
2.02,1.32402,0,0,1
2.03,1.31078,0,0,1
2.04,1.29768,0,0,1
2.05,1.2847,0,0,1
2.06,1.27185,0,0,1
2.07,1.25913,0,0,1
2.08,1.25654,0,1,1
2.09,1.25398,0,1,1
2.1,1.25144,0,1,1
2.11,1.24892,0,1,1
2.12,1.24643,0,1,1
2.13,1.24397,0,1,1
2.14,1.24153,0,1,1
2.15,1.23911,0,1,1
2.16,1.23672,0,1,1
2.17,1.23436,0,1,1
2.18,1.23201,0,1,1
2.19,1.23969,0,2,1
2.2,1.24729,0,2,1
2.21,1.25482,0,2,1
2.22,1.26227,0,2,1
2.23,1.26965,0,2,1
2.24,1.27695,0,2,1
2.25,1.28418,0,2,1
2.26,1.29134,0,2,1
2.27,1.29843,0,2,1
2.28,1.30545,0,2,1
2.29,1.31239,0,2,1
2.3,1.32927,0,3,1
2.31,1.34597,0,3,1
2.32,1.36251,0,3,1
2.33,1.37889,0,3,1
2.34,1.3951,0,3,1
2.35,1.41115,0,3,1
2.36,1.42704,0,3,1
2.37,1.44277,0,3,1
2.38,1.45834,0,3,1
2.39,1.47376,0,3,1
2.4,1.48902,0,3,1
2.41,1.51413,0,4,1
2.42,1.53899,0,4,1
2.43,1.5636,0,4,1
2.44,1.58796,0,4,1
2.45,1.61208,0,4,1
2.46,1.63596,0,4,1
2.47,1.6596,0,4,1
2.48,1.68301,0,4,1
2.49,1.70618,0,4,1
2.5,1.72911,0,4,1
2.51,1.75182,0,4,1
2.52,1.7843,0,5,1
2.53,1.81646,0,5,1
2.54,1.8483,0,5,1
